src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
10,12
10,13
11,14
11,15
13,16
16,17
18,19
18,20
18,21
18,22
18,23
18,24
25,27
25,28
26,29
26,30
26,31
27,32
27,33
30,34
30,35
35,36
35,37
35,38
35,39
35,40
41,52
41,53
41,54
42,55
42,56
42,57
43,58
44,59
44,60
45,61
45,62
45,63
46,64
46,65
46,66
47,67
47,68
47,69
48,70
48,71
48,72
49,73
49,74
49,75
50,76
50,77
50,78
51,79
53,80
53,81
56,82
56,83
64,84
64,85
67,86
67,87
70,88
70,89
81,90
81,91
83,92
93,115
93,116
93,117
94,118
94,119
94,120
95,121
95,122
95,123
96,124
96,125
96,126
97,127
97,128
97,129
98,130
98,131
98,132
98,133
99,134
99,135
99,136
100,137
100,138
100,139
101,140
101,141
101,142
102,143
102,144
102,145
103,146
103,147
103,148
103,149
104,150
104,151
104,152
105,153
105,154
105,155
106,156
106,157
106,158
107,159
107,160
107,161
108,162
108,163
108,164
109,165
110,166
110,167
110,168
111,169
111,170
111,171
112,172
112,173
112,174
112,175
113,176
113,177
113,178
114,179
115,180
115,181
124,182
124,183
125,184
128,185
128,186
137,187
137,188
138,189
140,190
140,191
141,192
144,193
144,194
153,195
153,196
154,197
156,198
156,199
157,200
159,201
159,202
160,203
163,204
163,205
