src,dst
0,1
2,3
2,4
3,5
3,6
4,7
4,8
6,9
8,10
10,95
10,96
11,97
11,98
12,99
12,100
13,101
13,102
14,103
14,104
15,105
15,106
16,107
16,108
17,109
17,110
18,111
18,112
19,113
19,114
20,115
20,116
21,117
21,118
22,119
22,120
23,121
23,122
24,123
24,124
25,125
25,126
26,127
26,128
27,129
27,130
28,131
28,132
29,133
29,134
30,135
30,136
31,137
31,138
32,139
32,140
33,141
33,142
34,143
34,144
35,145
35,146
36,147
36,148
37,149
37,150
38,151
38,152
39,153
39,154
40,155
40,156
41,157
41,158
42,159
42,160
43,161
43,162
44,163
44,164
45,165
45,166
46,167
46,168
47,169
47,170
48,171
48,172
49,173
49,174
50,175
50,176
51,177
51,178
52,179
52,180
53,181
53,182
54,183
54,184
55,185
55,186
56,187
56,188
57,189
57,190
58,191
58,192
59,193
59,194
60,195
60,196
61,197
61,198
62,199
62,200
63,201
63,202
64,203
64,204
65,205
65,206
66,207
66,208
67,209
67,210
68,211
68,212
69,213
69,214
70,215
70,216
71,217
71,218
72,219
72,220
73,221
73,222
74,223
74,224
75,225
75,226
76,227
76,228
77,229
77,230
78,231
78,232
79,233
79,234
80,235
80,236
81,237
81,238
82,239
82,240
83,241
83,242
84,243
84,244
85,245
85,246
86,247
86,248
87,249
87,250
88,251
88,252
89,253
89,254
90,255
90,256
91,257
91,258
92,259
92,260
93,261
93,262
94,263
94,264
96,265
98,266
100,267
102,268
102,269
104,270
106,271
106,272
106,273
108,274
110,275
110,276
112,277
112,278
114,279
116,280
118,281
120,282
122,283
124,284
126,285
128,286
128,287
128,288
130,289
130,290
130,291
132,292
132,293
134,294
136,295
138,296
140,297
140,298
142,299
142,300
144,301
144,302
146,303
146,304
146,305
148,306
148,307
150,308
150,309
152,310
154,311
154,312
156,313
158,314
158,315
160,316
160,317
162,318
164,319
166,320
168,321
168,322
170,323
170,324
172,325
174,326
176,327
178,328
180,329
182,330
184,331
184,332
186,333
188,334
190,335
190,336
192,337
194,338
194,339
196,340
196,341
198,342
198,343
200,344
200,345
202,346
202,347
204,348
204,349
206,350
206,351
208,352
210,353
212,354
214,355
214,356
216,357
216,358
218,359
220,360
222,361
224,362
224,363
226,364
228,365
230,366
230,367
232,368
234,369
234,370
236,371
236,372
238,373
238,374
238,375
238,376
240,377
242,378
244,379
244,380
246,381
246,382
248,383
248,384
250,385
250,386
252,387
252,388
254,389
256,390
256,391
258,392
260,393
262,394
264,395
266,398
267,399
269,400
269,401
269,402
269,403
270,404
270,405
273,406
273,407
273,408
274,409
274,410
274,411
276,412
276,413
278,414
278,415
278,416
279,417
279,418
280,419
280,420
281,421
281,422
282,423
282,424
283,425
283,426
284,427
284,428
284,429
285,430
285,431
288,432
288,433
288,434
288,435
288,436
291,437
291,438
291,439
291,440
293,441
293,442
293,443
294,444
294,445
294,446
294,447
294,448
295,449
296,450
296,451
298,452
298,453
300,454
300,455
300,456
300,457
300,458
300,459
302,460
302,461
305,462
305,463
307,464
307,465
309,466
309,467
310,468
312,469
313,470
313,471
313,472
313,473
313,474
313,475
315,476
315,477
315,478
315,479
315,480
315,481
315,482
317,483
317,484
318,485
318,486
318,487
318,488
319,489
320,490
320,491
322,492
322,493
322,494
324,495
324,496
324,497
324,498
324,499
325,500
325,501
325,502
326,503
326,504
327,505
327,506
327,507
328,508
328,509
329,510
329,511
329,512
330,513
330,514
330,515
332,516
332,517
333,518
333,519
333,520
333,521
333,522
334,523
334,524
336,525
337,526
339,527
341,528
343,529
343,530
345,531
349,532
349,533
351,534
351,535
351,536
351,537
352,538
352,539
353,540
353,541
353,542
353,543
354,544
354,545
356,546
356,547
356,548
356,549
358,550
358,551
358,552
359,553
359,554
359,555
359,556
359,557
360,558
361,559
361,560
363,561
364,562
364,563
365,564
365,565
365,566
365,567
365,568
365,569
365,570
365,571
365,572
367,573
367,574
367,575
368,576
368,577
368,578
370,579
370,580
372,581
372,582
372,583
372,584
372,585
376,586
376,587
376,588
376,589
376,590
376,591
376,592
376,593
376,594
376,595
377,596
377,597
377,598
378,599
378,600
378,601
378,602
378,603
378,604
378,605
380,606
380,607
380,608
380,609
380,610
382,611
382,612
382,613
382,614
384,615
384,616
384,617
384,618
384,619
384,620
384,621
384,622
384,623
384,624
384,625
386,626
386,627
386,628
388,629
389,630
389,631
389,632
389,633
391,634
392,635
392,636
393,637
393,638
394,639
394,640
395,641
395,642
395,643
396,644
396,645
396,646
397,647
398,648
398,649
398,650
403,652
403,653
403,654
405,655
405,656
407,658
407,659
408,660
410,661
410,662
411,663
413,664
413,665
415,666
416,667
418,669
420,670
420,671
422,672
422,673
424,674
426,675
426,676
428,684
428,685
429,692
431,695
435,696
436,697
436,698
438,699
438,700
439,701
439,702
442,707
443,708
445,709
445,710
446,712
446,713
447,721
448,722
451,729
453,730
455,735
455,736
456,737
456,738
457,739
457,740
458,741
458,742
459,748
459,749
461,751
463,752
465,753
467,754
467,755
469,757
469,758
474,759
477,762
478,763
479,764
479,765
480,766
481,767
482,768
484,769
484,770
486,771
487,772
488,773
489,774
491,777
494,778
496,779
496,780
497,781
497,782
498,783
499,784
499,785
501,787
502,788
504,790
504,791
506,792
506,793
507,794
507,795
509,796
509,797
511,807
512,808
514,814
514,815
515,816
515,817
517,818
517,819
519,820
519,821
