src,dst
0,1
0,2
0,3
0,4
0,5
0,6
7,8
7,9
9,10
9,11
11,12
11,13
11,14
14,15
16,17
16,18
19,20
19,21
20,22
20,23
24,31
24,32
25,33
25,34
26,35
26,36
27,37
27,38
28,39
28,40
29,41
29,42
30,43
31,44
31,45
33,46
33,47
35,48
35,49
37,50
37,51
39,52
39,53
41,54
41,55
45,56
47,57
47,58
49,59
49,60
51,61
51,62
51,63
53,64
53,65
53,66
55,67
55,68
69,108
69,109
70,110
70,111
71,112
71,113
72,114
72,115
73,116
74,117
74,118
74,119
75,120
75,121
76,122
76,123
77,124
78,125
78,126
79,127
79,128
80,129
80,130
81,131
81,132
82,133
83,134
83,135
84,136
85,137
85,138
85,139
86,140
86,141
86,142
87,143
87,144
87,145
88,146
89,147
89,148
89,149
90,150
90,151
91,152
91,153
92,154
92,155
92,156
93,157
93,158
93,159
94,160
94,161
95,162
95,163
95,164
96,165
96,166
97,167
97,168
98,169
98,170
99,171
99,172
100,173
101,174
101,175
102,176
102,177
103,178
103,179
104,180
104,181
105,182
105,183
106,184
106,185
107,186
108,187
114,188
117,189
122,190
125,191
125,192
129,193
129,194
131,195
134,196
137,197
137,198
143,199
143,200
147,201
147,202
152,203
152,204
157,205
157,206
162,207
162,208
165,209
165,210
169,211
169,212
171,213
171,214
174,215
174,216
178,217
178,218
180,219
180,220
182,221
182,222
184,223
184,224
225,227
225,228
226,229
226,230
