src,dst
1,2
1,3
5,6
5,7
8,9
8,10
8,11
8,12
13,15
13,16
14,17
16,18
16,19
19,20
19,21
19,22
22,23
24,25
24,26
24,27
28,29
28,30
29,31
32,64
32,65
33,66
33,67
34,68
34,69
35,70
35,71
36,72
36,73
37,74
37,75
38,76
38,77
39,78
39,79
40,80
40,81
41,82
41,83
42,84
42,85
43,86
43,87
44,88
44,89
45,90
45,91
46,92
46,93
47,94
47,95
48,96
48,97
49,98
49,99
50,100
50,101
51,102
51,103
52,104
52,105
53,106
53,107
54,108
54,109
55,110
55,111
56,112
56,113
57,114
57,115
58,116
58,117
59,118
59,119
60,120
60,121
61,122
61,123
62,124
62,125
63,126
63,127
64,128
66,129
68,130
70,131
72,132
74,133
76,134
78,135
80,136
82,137
84,138
86,139
88,140
90,141
92,142
94,143
96,144
98,145
100,146
102,147
104,148
106,149
108,150
110,151
112,152
114,153
116,154
118,155
120,156
122,157
124,158
126,159
128,160
129,161
130,162
130,163
130,164
130,165
131,166
131,167
131,168
131,169
132,170
132,171
132,172
132,173
133,174
134,175
135,176
136,177
137,178
138,179
139,180
140,181
141,182
142,183
143,184
144,185
145,186
145,187
145,188
146,189
147,190
148,191
149,192
150,193
151,194
152,195
153,196
153,197
153,198
154,199
155,200
156,201
157,202
158,203
159,204
205,214
206,215
207,216
208,217
209,218
210,219
211,220
212,221
213,222
