src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
7,13
7,14
7,15
7,16
8,17
8,18
8,19
9,20
9,21
9,22
9,23
10,24
10,25
11,26
11,27
12,28
12,29
16,30
16,31
16,32
16,33
16,34
16,35
16,36
16,37
16,38
19,39
19,40
23,41
25,42
27,43
30,44
30,45
31,46
36,47
36,48
38,51
39,52
40,53
42,54
43,55
44,56
45,57
46,58
47,60
48,61
49,62
49,63
50,64
50,65
51,66
51,67
51,68
51,69
51,70
52,73
54,74
54,75
55,76
55,77
55,78
56,79
58,80
59,81
60,82
63,84
65,85
65,86
70,87
70,88
70,89
70,90
70,91
70,92
70,93
70,94
73,95
78,98
78,99
78,100
78,101
79,102
80,103
82,104
83,105
84,106
84,107
87,108
87,109
91,110
91,111
93,113
93,114
94,115
94,116
95,119
96,121
96,122
98,124
98,125
108,135
108,136
112,137
112,138
117,139
117,140
118,141
118,142
120,143
120,144
123,146
124,147
125,148
126,149
127,150
127,151
128,152
129,153
130,154
130,155
131,156
132,157
133,158
133,159
134,160
134,161
135,162
135,163
139,175
139,176
139,177
151,179
154,180
154,181
162,182
164,183
165,184
166,185
167,186
170,187
172,188
172,189
173,190
173,191
174,192
174,193
177,194
178,195
182,197
192,198
192,199
194,200
194,201
197,203
200,204
201,205
201,206
202,207
208,211
209,212
209,213
215,216
215,217
215,218
215,219
215,220
215,221
215,222
215,223
215,224
215,225
215,226
215,227
223,228
223,229
224,230
224,231
225,232
226,236
226,237
227,238
227,239
227,240
227,241
229,242
231,243
232,244
232,245
233,248
234,249
234,250
235,251
235,252
235,253
237,254
237,255
241,256
242,259
242,260
243,263
243,264
245,265
245,266
246,267
250,269
250,270
252,271
256,272
257,273
258,274
261,275
262,276
266,277
268,279
272,281
272,282
277,285
277,286
280,287
280,288
283,289
283,290
283,291
284,292
287,294
293,296
295,297
295,298
297,300
299,301
302,303
302,304
302,305
302,306
302,307
302,308
302,309
302,310
302,311
302,312
302,313
302,314
311,316
311,317
311,318
311,319
311,320
312,321
312,322
312,323
313,324
313,325
314,326
314,327
314,328
315,329
315,330
320,331
320,332
323,333
325,334
328,335
329,336
332,338
333,339
334,340
335,341
337,342
337,343
338,344
338,345
339,346
339,347
340,348
340,349
341,350
341,351
343,372
343,373
344,374
344,375
344,376
347,377
352,378
352,379
353,380
353,381
354,382
354,383
355,384
355,385
356,386
356,387
357,388
357,389
358,390
358,391
359,392
359,393
360,394
360,395
361,396
361,397
362,398
362,399
363,400
363,401
364,402
364,403
365,404
365,405
366,406
366,407
367,408
367,409
368,410
368,411
369,412
369,413
370,414
370,415
371,416
371,417
378,422
380,423
381,424
381,425
382,426
384,427
386,428
388,429
390,430
392,431
394,432
396,433
398,434
400,435
402,436
404,437
406,438
408,439
410,440
412,441
414,442
416,443
418,446
418,447
419,448
419,449
419,450
420,451
420,452
421,453
421,454
422,455
423,456
430,457
434,458
436,459
438,460
439,461
440,462
441,463
442,464
443,465
444,466
444,467
445,468
445,469
445,470
445,471
448,472
449,473
467,560
467,561
467,562
470,563
470,564
475,570
475,571
476,572
476,573
477,574
477,575
478,576
478,577
479,578
479,579
480,580
480,581
481,582
481,583
482,584
482,585
483,586
483,587
484,588
484,589
485,590
485,591
486,592
486,593
487,594
487,595
488,596
488,597
489,598
489,599
940,1085
940,1086
941,1087
941,1088
942,1089
942,1090
943,1091
943,1092
944,1093
944,1094
945,1095
945,1096
946,1097
946,1098
947,1099
947,1100
948,1101
948,1102
949,1103
949,1104
950,1105
950,1106
951,1107
951,1108
952,1109
952,1110
953,1111
953,1112
954,1113
954,1114
955,1115
955,1116
956,1117
956,1118
957,1119
957,1120
958,1121
958,1122
959,1123
959,1124
960,1125
960,1126
961,1127
961,1128
962,1129
962,1130
963,1131
963,1132
964,1133
964,1134
965,1135
965,1136
966,1137
966,1138
967,1139
967,1140
968,1141
968,1142
969,1143
969,1144
970,1145
970,1146
971,1147
971,1148
972,1149
972,1150
973,1151
973,1152
974,1153
974,1154
975,1155
975,1156
976,1157
976,1158
977,1159
977,1160
978,1161
978,1162
979,1163
979,1164
980,1165
980,1166
981,1167
981,1168
982,1169
982,1170
983,1171
983,1172
984,1173
984,1174
985,1175
985,1176
986,1177
986,1178
987,1179
987,1180
988,1181
988,1182
989,1183
989,1184
990,1185
990,1186
991,1187
991,1188
992,1189
992,1190
993,1191
993,1192
994,1193
994,1194
995,1195
995,1196
996,1197
996,1198
997,1199
997,1200
998,1201
998,1202
999,1203
999,1204
1000,1205
1000,1206
1001,1207
1001,1208
1002,1209
1002,1210
1003,1211
1008,1212
1009,1213
1011,1214
1035,1215
1035,1216
1035,1217
1044,1218
1047,1219
1047,1220
1049,1221
1049,1222
1051,1223
1051,1224
1053,1225
1053,1226
1055,1227
1055,1228
1057,1229
1057,1230
1059,1231
1059,1232
1073,1233
1075,1234
1075,1235
1077,1236
1077,1237
1079,1238
1079,1239
1081,1240
1081,1241
1083,1242
1085,1243
1087,1244
1087,1245
1089,1246
1089,1247
1091,1248
1091,1249
1093,1250
1093,1251
1095,1252
1097,1253
1100,1254
1100,1255
1100,1256
1107,1257
1107,1258
1109,1259
1109,1260
1116,1261
1116,1262
1116,1263
1131,1264
1133,1265
1133,1266
1135,1267
1135,1268
1135,1269
1144,1270
1150,1271
1150,1272
1150,1273
1156,1274
1171,1275
1171,1276
1173,1277
1173,1278
1175,1279
1175,1280
1177,1281
1177,1282
1179,1283
1179,1284
1182,1285
1182,1286
1186,1287
1186,1288
1186,1289
1192,1290
1192,1291
1198,1292
1198,1293
1198,1294
1199,1295
1199,1296
1199,1297
1202,1298
1202,1299
1202,1300
1202,1301
1217,1302
1241,1303
1251,1304
1262,1305
1262,1306
1262,1307
1285,1310
1285,1311
1288,1312
1288,1313
1290,1315
1290,1316
1293,1317
1293,1318
1293,1319
1297,1320
1300,1321
1300,1322
1302,1323
1302,1324
1319,1361
1320,1362
1320,1363
1323,1365
1325,1366
1325,1367
1326,1368
1326,1369
1327,1370
1327,1371
1328,1372
1328,1373
1329,1374
1329,1375
1330,1376
1330,1377
1331,1378
1331,1379
1332,1380
1332,1381
1333,1382
1333,1383
1334,1384
1334,1385
1335,1386
1335,1387
1336,1388
1336,1389
1337,1390
1337,1391
1338,1392
1338,1393
1339,1394
1339,1395
1340,1396
1340,1397
1341,1398
1341,1399
1342,1400
1342,1401
1343,1402
1343,1403
1344,1404
1344,1405
1345,1406
1345,1407
1346,1408
1346,1409
1347,1410
1347,1411
1348,1412
1348,1413
1349,1414
1349,1415
1350,1416
1350,1417
1351,1418
1351,1419
1352,1420
1352,1421
1353,1422
1353,1423
1354,1425
1354,1426
1355,1427
1355,1428
1356,1429
1356,1430
1357,1431
1357,1432
1358,1433
1358,1434
1359,1435
1359,1436
1360,1437
1360,1438
1361,1445
1362,1446
1364,1447
1364,1448
1383,1451
1383,1452
1383,1453
1392,1454
1394,1455
1394,1456
1396,1457
